漢字,音読み,訓読み,画数,習う学年
一,イチ・イツ,ひと・ひと(つ),1画,1年
二,ニ,ふた・ふた(つ),2画,1年
七,シチ,なな・なの・なな(つ),2画,1年
八,ハチ,やっ(つ)・よう・や(つ),2画,1年
九,キュウ・ク,ここの・ここの(つ),2画,1年
十,ジュウ・ジッ,とお・と,2画,1年
人,ニン・ジン,ひと,2画,1年
力,リョク・リキ,ちから,2画,1年
入,ニュウ,はい(る)・い(れる)・い(る),2画,1年
刀,トウ,かたな,2画,2年
丁,チョウ,―,2画,3年
三,サン,み・みっ(つ)・み(つ),3画,1年
千,セン,ち,3画,1年
子,シ・ス,こ,3画,1年
女,ジョ,おんな,3画,1年
上,ジョウ,うえ・かみ・のぼ(る)・あ(げる)・あ(がる)・うわ,3画,1年
下,ゲ・カ,した・しも・さ(げる)・さ(がる)・くだ(る)・くだ(す)・お(ろす)・お(りる),3画,1年
大,ダイ・タイ,おお(きい)・おお・おお(いに),3画,1年
小,ショウ,ちい(さい)・こ・お,3画,1年
山,サン,やま,3画,1年
川,―,かわ,3画,1年
土,ド・ト,つち,3画,1年
夕,―,ゆう,3画,1年
口,コウ・ク,くち,3画,1年
万,マン,―,3画,2年
才,サイ,―,3画,2年
弓,―,ゆみ,3画,2年
丸,ガン,まる・まる(い)・まる(める),3画,2年
工,コウ・ク,―,3画,2年
士,シ,―,3画,5年
久,キュウ,ひさ(しい),3画,5年
亡,ボウ,―,3画,6年
寸,スン,―,3画,6年
己,コ,―,3画,6年
干,カン,ほ(す),3画,6年
五,ゴ,いつ・いつ(つ),4画,1年
六,ロク,むっ(つ)・むい・む・む(つ),4画,1年
月,ガツ・ゲツ,つき,4画,1年
火,カ,ひ,4画,1年
水,スイ,みず,4画,1年
木,モク・ボク,き・こ,4画,1年
日,ニチ・ジツ,ひ・か,4画,1年
円,エン,まる(い),4画,1年
天,テン,あま,4画,1年
文,ブン・モン,―,4画,1年
中,チュウ・ジュウ,なか,4画,1年
王,オウ,―,4画,1年
犬,ケン,いぬ,4画,1年
手,シュ,て,4画,1年
方,ホウ,かた,4画,2年
止,シ,と(まる)・と(める),4画,2年
今,コン,いま,4画,2年
公,コウ,―,4画,2年
切,セツ,き(る)・き(れる),4画,2年
分,ブン・フン・ブ,わ(かる)・わ(ける)・わ(かれる)・わ(かつ),4画,2年
元,ゲン・ガン,もと,4画,2年
内,ナイ,うち,4画,2年
午,ゴ,―,4画,2年
太,タ・タイ,ふと(い)・ふと(る),4画,2年
友,ユウ,とも,4画,2年
少,ショウ,すく(ない)・すこ(し),4画,2年
引,イン,ひ(く)・ひ(ける),4画,2年
心,シン,こころ,4画,2年
戸,コ,と,4画,2年
毛,モウ,け,4画,2年
牛,ギュウ,うし,4画,2年
父,フ,ちち,4画,2年
予,ヨ,―,4画,3年
反,ハン,そ(る),4画,3年
区,ク,―,4画,3年
化,カ,ば(ける)・ば(かす),4画,3年
夫,フ,おっと,4画,4年
不,フ・ブ,―,4画,4年
氏,シ,―,4画,4年
欠,ケツ,か(ける)・か(く),4画,4年
井,―,い,4画,4年
仏,ブツ,ほとけ,4画,5年
比,ヒ,くら(べる),4画,5年
支,シ,ささ(える),4画,5年
片,―,かた,4画,6年
仁,ジン,―,4画,6年
収,シュウ,おさ(まる)・おさ(める),4画,6年
尺,シャク,―,4画,6年
四,シ,よん・よっ(つ)・よ(つ)・よ,5画,1年
生,セイ・ショウ,い(きる)・い(ける)・い(かす)・なま・う(まれる)・う(む)・は(える)・は(やす),5画,1年
本,ホン,もと,5画,1年
右,ウ・ユウ,みぎ,5画,1年
左,サ,ひだり,5画,1年
白,ハク,しろ・しろ(い)・しら,5画,1年
正,セイ・ショウ,ただ(しい)・まさ・ただ(す),5画,1年
田,デン,た,5画,1年
目,モク,め,5画,1年
立,リツ,た(つ)・た(てる),5画,1年
出,シュツ,で(る)・だ(す),5画,1年
玉,ギョク,たま,5画,1年
石,セキ・シャク,いし,5画,1年
母,ボ,はは,5画,2年
兄,キョウ,あに,5画,2年
冬,トウ,ふゆ,5画,2年
古,コ,ふる(い)・ふる(す),5画,2年
台,ダイ・タイ,―,5画,2年
外,ガイ,そと・ほか・はず(す)・はず(れる),5画,2年
北,ホク,きた,5画,2年
市,シ,いち,5画,2年
半,ハン,なか(ば),5画,2年
